sample_id,rows,cols,dist_type,posit_n,posit_es,abs_err,rel_err,fp32_abs_err,fp32_rel_err,x_mean,x_std,x_p1,x_p50,x_p99,y_mean,y_std,y_p1,y_p50,y_p99
7,16,16,0,8,1,1.85458,0.236115,5.75509e-07,7.32705e-08,0.0530609,0.96907,0.0183035,0.656481,2.40738,0.292914,0.863903,0.0606088,0.832899,1.47032
7,16,16,0,8,2,2.85458,0.363429,5.75509e-07,7.32705e-08,0.0530609,0.96907,0.0183035,0.656481,2.40738,0.292914,0.863903,0.0606088,0.832899,1.47032
7,16,16,0,16,0,0.00888052,0.00113062,5.75509e-07,7.32705e-08,0.0530609,0.96907,0.0183035,0.656481,2.40738,0.292914,0.863903,0.0606088,0.832899,1.47032
7,16,16,0,16,1,0.00106802,0.000135974,5.75509e-07,7.32705e-08,0.0530609,0.96907,0.0183035,0.656481,2.40738,0.292914,0.863903,0.0606088,0.832899,1.47032
7,16,16,0,16,2,0.00497427,0.000633295,5.75509e-07,7.32705e-08,0.0530609,0.96907,0.0183035,0.656481,2.40738,0.292914,0.863903,0.0606088,0.832899,1.47032
7,16,16,0,32,0,6.88698e-08,8.7681e-09,5.75509e-07,7.32705e-08,0.0530609,0.96907,0.0183035,0.656481,2.40738,0.292914,0.863903,0.0606088,0.832899,1.47032
7,16,16,0,32,1,6.88698e-08,8.7681e-09,5.75509e-07,7.32705e-08,0.0530609,0.96907,0.0183035,0.656481,2.40738,0.292914,0.863903,0.0606088,0.832899,1.47032
7,16,16,0,32,2,6.88698e-08,8.7681e-09,5.75509e-07,7.32705e-08,0.0530609,0.96907,0.0183035,0.656481,2.40738,0.292914,0.863903,0.0606088,0.832899,1.47032
8,16,16,0,8,0,0.723899,0.567274,1.83598e-06,1.43874e-06,0.044984,1.0343,0.00993103,0.701337,2.59055,0.34091,0.929442,0.0250087,0.722589,1.54079
8,16,16,0,8,1,1.7239,1.35091,1.83598e-06,1.43874e-06,0.044984,1.0343,0.00993103,0.701337,2.59055,0.34091,0.929442,0.0250087,0.722589,1.54079
8,16,16,0,8,2,1.2761,1,1.83598e-06,1.43874e-06,0.044984,1.0343,0.00993103,0.701337,2.59055,0.34091,0.929442,0.0250087,0.722589,1.54079
8,16,16,0,16,0,0.00266368,0.00208736,1.83598e-06,1.43874e-06,0.044984,1.0343,0.00993103,0.701337,2.59055,0.34091,0.929442,0.0250087,0.722589,1.54079
8,16,16,0,16,1,0.0104762,0.00820952,1.83598e-06,1.43874e-06,0.044984,1.0343,0.00993103,0.701337,2.59055,0.34091,0.929442,0.0250087,0.722589,1.54079
8,16,16,0,16,2,0.00124257,0.000973721,1.83598e-06,1.43874e-06,0.044984,1.0343,0.00993103,0.701337,2.59055,0.34091,0.929442,0.0250087,0.722589,1.54079
8,16,16,0,32,0,3.09791e-07,2.42764e-07,1.83598e-06,1.43874e-06,0.044984,1.0343,0.00993103,0.701337,2.59055,0.34091,0.929442,0.0250087,0.722589,1.54079
8,16,16,0,32,1,7.13722e-08,5.59299e-08,1.83598e-06,1.43874e-06,0.044984,1.0343,0.00993103,0.701337,2.59055,0.34091,0.929442,0.0250087,0.722589,1.54079
8,16,16,0,32,2,1.07442e-07,8.41953e-08,1.83598e-06,1.43874e-06,0.044984,1.0343,0.00993103,0.701337,2.59055,0.34091,0.929442,0.0250087,0.722589,1.54079
9,16,16,0,8,0,0.902861,0.18415,3.12944e-07,6.38288e-08,0.00822399,1.00763,0.00751536,0.737291,2.40734,-0.178657,0.531471,0.00481331,0.204622,0.770568
9,16,16,0,8,1,1.09714,0.223775,3.12944e-07,6.38288e-08,0.00822399,1.00763,0.00751536,0.737291,2.40734,-0.178657,0.531471,0.00481331,0.204622,0.770568
9,16,16,0,8,2,1.40286,0.286131,3.12944e-07,6.38288e-08,0.00822399,1.00763,0.00751536,0.737291,2.40734,-0.178657,0.531471,0.00481331,0.204622,0.770568
9,16,16,0,16,0,0.000517532,0.000105557,3.12944e-07,6.38288e-08,0.00822399,1.00763,0.00751536,0.737291,2.40734,-0.178657,0.531471,0.00481331,0.204622,0.770568
9,16,16,0,16,1,0.00442378,0.000902286,3.12944e-07,6.38288e-08,0.00822399,1.00763,0.00751536,0.737291,2.40734,-0.178657,0.531471,0.00481331,0.204622,0.770568
9,16,16,0,16,2,0.000517532,0.000105557,3.12944e-07,6.38288e-08,0.00822399,1.00763,0.00751536,0.737291,2.40734,-0.178657,0.531471,0.00481331,0.204622,0.770568
9,16,16,0,32,0,1.48816e-08,3.03529e-09,3.12944e-07,6.38288e-08,0.00822399,1.00763,0.00751536,0.737291,2.40734,-0.178657,0.531471,0.00481331,0.204622,0.770568
9,16,16,0,32,1,1.48816e-08,3.03529e-09,3.12944e-07,6.38288e-08,0.00822399,1.00763,0.00751536,0.737291,2.40734,-0.178657,0.531471,0.00481331,0.204622,0.770568
9,16,16,0,32,2,1.04328e-07,2.12789e-08,3.12944e-07,6.38288e-08,0.00822399,1.00763,0.00751536,0.737291,2.40734,-0.178657,0.531471,0.00481331,0.204622,0.770568
10,16,16,0,8,0,1.6174,0.392821,1.55617e-06,3.7795e-07,0.09555,1.06183,0.0191549,0.738915,2.5435,0.1803,0.926883,0.0668149,0.732468,1.6608
10,16,16,0,8,1,1.8826,0.45723,1.55617e-06,3.7795e-07,0.09555,1.06183,0.0191549,0.738915,2.5435,0.1803,0.926883,0.0668149,0.732468,1.6608
10,16,16,0,8,2,1.8826,0.45723,1.55617e-06,3.7795e-07,0.09555,1.06183,0.0191549,0.738915,2.5435,0.1803,0.926883,0.0668149,0.732468,1.6608
10,16,16,0,16,0,0.0080253,0.00194912,1.55617e-06,3.7795e-07,0.09555,1.06183,0.0191549,0.738915,2.5435,0.1803,0.926883,0.0668149,0.732468,1.6608
10,16,16,0,16,1,0.0075997,0.00184575,1.55617e-06,3.7795e-07,0.09555,1.06183,0.0191549,0.738915,2.5435,0.1803,0.926883,0.0668149,0.732468,1.6608
10,16,16,0,16,2,0.0075997,0.00184575,1.55617e-06,3.7795e-07,0.09555,1.06183,0.0191549,0.738915,2.5435,0.1803,0.926883,0.0668149,0.732468,1.6608
10,16,16,0,32,0,3.62522e-08,8.80463e-09,1.55617e-06,3.7795e-07,0.09555,1.06183,0.0191549,0.738915,2.5435,0.1803,0.926883,0.0668149,0.732468,1.6608
10,16,16,0,32,1,2.33525e-08,5.67166e-09,1.55617e-06,3.7795e-07,0.09555,1.06183,0.0191549,0.738915,2.5435,0.1803,0.926883,0.0668149,0.732468,1.6608
10,16,16,0,32,2,3.62522e-08,8.80463e-09,1.55617e-06,3.7795e-07,0.09555,1.06183,0.0191549,0.738915,2.5435,0.1803,0.926883,0.0668149,0.732468,1.6608
11,16,16,0,8,0,2.43054,0.257731,1.23407e-06,1.30858e-07,-0.0427046,0.935942,0.012477,0.640529,2.33329,0.377857,0.739794,0.0570904,0.419162,1.25597
11,16,16,0,8,1,0.430538,0.0456535,1.23407e-06,1.30858e-07,-0.0427046,0.935942,0.012477,0.640529,2.33329,0.377857,0.739794,0.0570904,0.419162,1.25597
11,16,16,0,8,2,0.430538,0.0456535,1.23407e-06,1.30858e-07,-0.0427046,0.935942,0.012477,0.640529,2.33329,0.377857,0.739794,0.0570904,0.419162,1.25597
11,16,16,0,16,0,0.0069625,0.000738293,1.23407e-06,1.30858e-07,-0.0427046,0.935942,0.012477,0.640529,2.33329,0.377857,0.739794,0.0570904,0.419162,1.25597
11,16,16,0,16,1,0.0086625,0.000918559,1.23407e-06,1.30858e-07,-0.0427046,0.935942,0.012477,0.640529,2.33329,0.377857,0.739794,0.0570904,0.419162,1.25597
11,16,16,0,16,2,0.0086625,0.000918559,1.23407e-06,1.30858e-07,-0.0427046,0.935942,0.012477,0.640529,2.33329,0.377857,0.739794,0.0570904,0.419162,1.25597
11,16,16,0,32,0,2.80392e-07,2.97323e-08,1.23407e-06,1.30858e-07,-0.0427046,0.935942,0.012477,0.640529,2.33329,0.377857,0.739794,0.0570904,0.419162,1.25597
11,16,16,0,32,1,1.76317e-08,1.86964e-09,1.23407e-06,1.30858e-07,-0.0427046,0.935942,0.012477,0.640529,2.33329,0.377857,0.739794,0.0570904,0.419162,1.25597
11,16,16,0,32,2,1.76317e-08,1.86964e-09,1.23407e-06,1.30858e-07,-0.0427046,0.935942,0.012477,0.640529,2.33329,0.377857,0.739794,0.0570904,0.419162,1.25597
