app,family,variant_id,sample_id,source_ir,function,entity_id,role,bb,def_opcode,use_count,is_loop_carried,is_output_related,fanout,reduction_depth,distance_to_output,same_loop_neighbor_count,num_arith_users,format,format_n,format_es,tol_whole_app_rel_err,actual_whole_app_rel_err,is_feasible_under_tol,margin_to_tol,label_status,notes
ema_recurrence_v04,ema_recurrence,v04,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v04.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_0,8,0,1.000000e-03,1.385550e-03,0,-3.855500e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v04,ema_recurrence,v04,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v04.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_1,8,1,1.000000e-03,7.291310e-02,0,-7.191310e-02,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v04,ema_recurrence,v04,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v04.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_2,8,2,1.000000e-03,7.014200e-02,0,-6.914200e-02,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v04,ema_recurrence,v04,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v04.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_16_0,16,0,1.000000e-03,8.131900e-05,1,9.186810e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v04,ema_recurrence,v04,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v04.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_16_1,16,1,1.000000e-03,2.908720e-04,1,7.091280e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v04,ema_recurrence,v04,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v04.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_16_2,16,2,1.000000e-03,2.679370e-04,1,7.320630e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v04,ema_recurrence,v04,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v04.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_0,32,0,1.000000e-03,4.489140e-10,1,9.999996e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v04,ema_recurrence,v04,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v04.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_1,32,1,1.000000e-03,6.169290e-10,1,9.999994e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v04,ema_recurrence,v04,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v04.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_2,32,2,1.000000e-03,7.909820e-09,1,9.999921e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v05,ema_recurrence,v05,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v05.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_0,8,0,1.000000e-03,2.742900e-02,0,-2.642900e-02,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
